a phiến
đâu đâu
đâu đây
đâu mâu
đâu nào
đâu như
đầu bài
đầu bếp
đầu cầu
đầu dài
đầu đạn
đầu độc
đầu gió
đầu gối
đầu heo
đầu hôm
đầu rau
đầu rìu
đầu sai
đầu tay
đầu thú
đấu dịu
đấu giá
đấu thủ
đấu trí
đấu xảo
đậu đũa
đậu lào
đậu mèo
đậu mùa
đậu ngự
đậu phụ
đậu tằm
đậu tía
đậu ván
đậu vảy
đây đẩy
đây này
đầy dẫy
đầy đặn
đầy hơi
đầy năm
đầy phè
đầy rẫy
đẩy đưa
đẩy lui
đẩy lùi
đẫy mắt
đẫy sắc
đẫy túi
đem đầu
đèm đẹp
đen bạc
đen đen
đen đét
đen đủi
đen kịt
đen sạm
đen sịt
đen tối
đèn bão
đèn báo
đèn bấm
đèn cây
đèn cầy
đèn đất
đèn đóm
đèn ống
đèn pin
đèn rọi
đèn xếp
đẹn sữa
đeo đai
đèo đẽo
đẽo gọt
đẹp đôi
đẹp lão
đẹp mắt
đẹp mặt
đẹt đít
đê điều
đê nhục
đê quai
đê tiện
đề binh
đề hình
đề khởi
đề nghị
đề tặng
đề vịnh
đề xuất
để bụng
để cách
để dành
để lòng
đế hiệu
đế kinh
đế quốc
đêm hôm
đêm tối
đếm xỉa
đệm đàn
đền bồi
đền đài
đền đáp
đền tội
đến đỗi
đến giờ
đến hay
đến mức
đến nỗi
đến nơi
đến thế
đến thì
đều đặn
đều đều
đểu giả
đi biệt
đi buôn
đi chân
đi chơi
đi đứng
đi giải
đi khỏi
đi kiết
đi lính
đi nghề
đi nghỉ
đi rừng
đi sông
đi tiêu
đi tuần
đi tướt
đi vắng
đi vòng
đì đùng
đĩ điếm
đĩ thoả
đĩ tính
đĩ trai
đỉa vòi
địa bàn
địa các
địa cầu
địa chi
địa chỉ
địa chí
địa chủ
địa cực
địa đạo
địa đầu
địa lũy
địa mạo
địa phủ
địa thế
địa vực
điên rồ
điện từ
điện tử
đinh ba
đinh bạ
đinh ốc
định âm
định cư
định đề
định đô
định kì
định lệ
định lí
định số
định sở
định vị
đít đoi
đìu hiu
đỏ bừng
đỏ chóe
đỏ chói
đỏ chót
đỏ đuôi
đỏ hoét
đọ gươm
đọa đày
đọa lạc
đoàn bộ
đoàn tụ
đoản ca
đoản kì
đoán mò
đoán số
đoạt vị
đọc nối
đoi đói
đòi cơn
đòi hỏi
đói kém
đói khó
đói khổ
đói mèm
đói meo
đọi đèn
đom đóm
đon đản
đòn bẩy
đòn càn
đòn gió
đòn nóc
đòn ống
đòn tay
đòn vọt
đòn xeo
đòn xóc
đón dâu
đón đầu
đón đưa
đón hỏi
đón rào
đón tay
đóng bộ
đóng cừ
đóng đô
đô sảnh
đồ biểu
đồ chơi
đồ cúng
đồ dùng
đồ đảng
đồ đồng
đồ giải
đồ nghề
đồ ngốc
đồ nhắm
đồ tang
đồ uống
đổ bệnh
đổ nhào
đổ riệt
đổ thừa
đỗ xanh
độ khẩu
độ kinh
độ lệch
độ thân
độ vong
đốc học
độc bản
độc cần
độc đáo
độc giả
độc hại
độc lập
độc mộc
độc tài
độc tấu
độc tôn
độc trụ
độc vận
đôi bên
đôi hồi
đôi khi
đôi lứa
đôi nam
đôi tám
đồi bại
đồi mồi
đồi não
đồi thị
đổi dời
đổi đời
đổi lẫn
đổi lấy
đổi lốt
đổi vai
đối bào
đối cảm
đối cực
đối hợp
đối lập
đối lưu
đối nại
đối nội
đối phó
đối thủ
đội kèn
đội lốt
đội ngũ
đội phó
đôm đốm
đôm đốp
đồm độp
đốm mắt
đốm vằn
đồn bót
đồn bốt
đồn đại
đồn lũy
đồn thú
đồn trú
đốn đời
đốn mạt
độn thổ
độn tóc
độn vai
đông du
đông đủ
đồng âm
đồng bộ
đồng ca
đồng cỏ
đồng cô
đồng cư
đồng hồ
đồng tử
đồng vị
đổng lí
động cơ
động đĩ
động từ
động tử
đốt đèn
đốt phá
đốt rẫy
đốt tay
đốt vía
đột phá
đột qụy
đỡ lòng
đớ họng
đớ lưỡi
đời đời
đời nào
đời nay
đời sau
đời xưa
đới cầu
đợi chờ
đơm đặt
đơn bạc
đơn bào
đơn bội
đơn chủ
đơn cực
đơn độc
đơn sắc
đơn ứng
đơn xin
đớn đời
đớn hèn
đớn mạt
đủ điều
đua đòi
đua tài
đua trí
đùa bỡn
đùa cợt
đùa dai
đùa nhả
đũa bếp
đúc kết
đúc rút
đúc sẵn
đục hom
đục lầm
đục một
đùi non
đum đum
đùm bọc
đùm đụp
đùm túm
đun nấu
đùn đẩy
đùn đùn
đún đởn
đúng lí
đụng độ
đuôi gà
đuổi cổ
đuối lí
đút lót
đút nút
đút tỏm
đút túi
đưa cay
đưa dâu
đưa đám
đưa đẩy
đưa đón
đưa đơn
đưa nhẹ
đưa tay
đưa tin
đưa vào
đức cha
đức dục
đức hoá
đức ông
đức tin
đực mặt
đứng im
đượm đà
đứt đầu
đứt gãy
đứt hơi
em nuôi
em ruột
em trai
ém nhẹm
eo biển
eo sách
ép buộc
ép tình
ép uổng
êm lặng
êm thấm
ềnh ềnh
ềnh ễnh
gà chọi
gà đồng
gà nhật
gà nước
gà rừng
gà sống
gà tiền
gác bếp
gác bút
gác núi
gác sân
gác xếp
gạch bỏ
gai cua
gai dầu
gai gai
gai góc
gai mắt
gai sốt
gai tên
gai thị
gài bẫy
gái già
gái goá
gái tân
gan góc
gàn gàn
gán tội
gạn hỏi
gạn lọc
ganh gổ
ganh tị
gạo cẩm
gạo giã
gạo lứt
gạo mùa
gạo nếp
gạo tám
gạo xát
gạt gẫm
gạt tàn
gau gáu
gàu dai
gay cấn
gay gắt
gãy gọn
gãy vụn
gằm gằm
gằm ghè
gắm ghé
gặm mòn
găn gắt
gắng gổ
gặp dịp
gặp may
gặp mặt
gặp vận
gắt gao
gặt hái
gâm gấp
gầm ghè
gầm ghì
gầm hét
gấm vóc
gân cốt
gân sức
gần bên
gần đây
gần đến
gần gặn
gần gũi
gần gụi
gần như
gấp bội
gấp đôi
gấp gáp
gấp gay
gật đầu
gâu gâu
gấu chó
gấu lợn
gấu mèo
gây gấy
gây hấn
gây lộn
gây men
gây ngủ
gây rối
gây sốt
gầy còm
gầy đét
gầy gộc
gầy mòn
gầy yếu
gậy gộc
gậy tày
ghe bầu
ghẻ ong
ghé gẩm
ghé mắt
ghé tai
ghé vai
ghen ăn
ghen tị
ghét bỏ
ghê ghê
ghê gớm
ghê hồn
ghê rợn
ghê tởm
ghế dài
ghế dựa
ghế đẩu
ghế gập
ghế mây
ghế phụ
ghế tựa
ghế vải
ghi chú
ghi nhớ
ghi tạc
ghi tên
gỉ đồng
gia bảo
gia bộc
gia cảm
gia cầm
gia chủ
gia đạo
gia hào
gia phả
gia phổ
gia sản
gia súc
gia tài
gia tâm
gia thế
gia tốc
gia tộc
gia vận
già cấc
già cỗi
già đời
già khụ
già lam
già lão
già mồm
già nua
già sọm
già tay
già yếu
giả bữa
giả cầu
giả cầy
giả của
giả dối
giả lời
giả mạo
giả ngơ
giả như
giả tạo
giả thử
giả trá
giả túc
giá bán
giá dôi
giá họa
giá mua
giá ngự
giá như
giá thể
giá thú
giá thử
giá trị
giác cự
giác độ
giác kế
giai âm
giai cú
giai kì
giai tế
giai vị
giải cử
giải mã
giải mê
giải vi
giãi tỏ
giảm án
giảm áp
giảm tô
giám hộ
giám lí
giám mã
gian ác
gian cơ
giản dị
giản đồ
giãn nở
giao du
giao hỗ
giao tế
giao tử
giao vĩ
giáo án
giáo cụ
giáo đồ
giáo lí
giáo sĩ
giáo sư
giáo vụ
giáo xứ
giáp sĩ
giáp vụ
giát lò
giàu có
giàu sụ
giảu mỏ
giày hạ
giày vò
giặc cỏ
giặt là
giấc mơ
giận dữ
giật cơ
giấu tủ
giấy da
giấy hồ
giấy má
giấy tờ
giấy vẽ
giẻ cùi
giẻ lau
gìn giữ
giò lụa
giò thủ
giò xào
gió bão
gió bấc
gió bụi
gió lào
gió lốc
gió may
gió máy
gió mây
gió mùa
gió mưa
gió nồm
gió tây
giòi da
giọt lệ
giọt tụ
giỗ đầu
giỗ hậu
giỗ hết
giơ mặt
giờ đây
giờ lâu
giở lại
giở mặt
giở quẻ
giở tay
giới từ
giu giú
giũ bụi
giúp đỡ
giữ giá
giữ gìn
giữ lại
giữ lời
giữ rịt
giữ trẻ
gò băng
gò đống
gõ kiến
goá bụa
góc bẹt
góc nhà
gói gắm
gọi cửa
gọi hỏi
gọi hồn
gom góp
gòn gọn
gọn ghẽ
gọn lỏn
gọn mắt
gọng vó
góp mặt
góp sức
góp vào
gót đầu
gót sắt
gót sen
gót son
gỗ tròn
gốc gác
gối dài
gối dựa
gối xếp
gột rửa
gột vịt
gờ vòng
gởi gắm
gợi cảm
gợi lại
gờm mặt
gớm ghê
gớm mặt
gờn gợn
gục gặc
gùn ghè
gùn gút
guốc lẻ
gửi gắm
gửi lời
hà hiếp
hà khắc
hà khẩu
hà khốc
hà tằng
hà tiện
hả giận
hả lòng
hạ buồm
hạ cánh
hạ công
hạ giới
hạ lệnh
hạ mình
hạ nang
hạ ngục
hạ sách
hạ tầng
hạ tiện
hạ tình
hạ trần
hạ tuần
hạ viện
hạch đồ
hai mặt
hài cốt
hài đàm
hài hoà
hài nhi
hài sảo
hài văn
hải cẩu
hải đảo
hải đạo
hải lưu
hải nội
hải quỳ
hải sản
hải sâm
hải tặc
hải tân
hải tần
hải vận
hải yến
hàm ếch
hàm giả
hàm oan
hàm rắn
hàm súc
hàm thụ
hãm hại
hãm màu
hãm tài
hám của
hạm đội
hàn đới
hàn gắn
hàn gia
hàn lâm
hàn mặc
hàn nho
hàn rèn
hàn the
hãn hữu
hãn mạn
hán hóa
hán học
hán ngữ
hán thư
hán tộc
hán văn
hạn chế
hạn hán
hạn hẹp
hạn mức
hạn vận
hàng ăn
hàng họ
hàng xã
hàng xũ
hàng xứ
hạng ưu
hành hạ
hành lễ
hành lí
hành sự
hành ta
hành vi
hao hao
hao hụt
hao mòn
hao phí
hao sức
hao tài
hao tổn
hào chỉ
hào hoa
hào khí
hào lũy
hào mục
hào phú
hào ván
hảo hán
hảo hớn
hảo tâm
háo hức
háo khí
hát bắc
hát bội
hát đùm
hát xẩm
hạt kết
hạt kín
hạt lựu
hạt mềm
hau háu
háu đói
hay chữ
hay đâu
hay hay
hay háy
hay hớm
hay làm
hay quá
hay sao
hãy còn
hắc búa
hắc lào
hắc vận
hăm dọa
hằm hằm
hằn học
hằn thù
hẳn hoi
hẳn hòi
hăng đì
hằng số
hắt hiu
hắt hơi
hắt hủi
hâm hẩm
hâm hấp
hầm hào
hầm hập
hầm hơi
hầm mìn
hầm rập
hầm tàu
hẩm hiu
hậm họe
hậm hực
hận cừu
hận thù
hẫng hờ
hấp dẫn
hấp háy
hấp him
hấp hối
hấp hơi
hấp lực
hấp tấp
hấp thu
hấp thụ
hất hàm
hất hậu
hất ngã
hầu bàn
hầu bao
hầu cận
hầu hết
hầu như
hầu non
hẩu lốn
hậu báo
hậu bối
hậu cần
hậu đài
hậu đãi
hậu đại
hậu đậu
hậu đội
hậu môn
hậu phi
hậu quả
hậu sản
hậu tạo
hậu tập
hậu thế
hậu thú
hậu vận
hây hây
hây hẩy
hé nắng
hé răng
hèm hẹp
hèn chi
hèn kém
hèn mạt
hèn mọn
hèn nào
hèn yếu
hẹn ước
heo hắt
heo hút
heo may
heo vòi
héo hắt
héo hon
héo mòn
hẹp hòi
hề đồng
hệ luận
hết đời
hết hồn
hết hơi
hết lời
hết mực
hết ráo
hết sức
hết vía
hi sinh
hi vọng
hỉ đồng
hí hoáy
hí hửng
hí khúc
hí kịch
hí viện
hiềm vì
hiểm ác
hiếm có
hiếm gì
hiền đệ
hiền sĩ
hiền từ
hiển vi
hiến kế
hiện bộ
hiệp nữ
hiệp sĩ
hiểu dụ
hiếu đễ
hiếu hỉ
hiếu kì
hiếu nữ
hiếu sự
hiếu tử
hiệu số
him him
hình sự
hiu hắt
hiu hiu
ho khan
họ hàng
hoa hậu
hoa lợi
hoa quả
hoài cổ
hoan hỉ
hoan hô
hoàn vũ
hoán dụ
hoán vị
hoặc là
hóc búa
học chế
học đòi
học gạo
học giả
học hàm
học hỏi
học lỏm
học lực
học mót
học phí
học tập
học trò
học vần
học vấn
hoe hoe
hoen gỉ
hoi hoi
hoi hóp
hỏi bài
hỏi dồn
hỏi gạn
hỏi han
hỏi nhỏ
hỏi thi
hỏi tội
hỏi tra
hỏi vặn
hói đầu
hom hem
hom hỏm
hòm hòm
hòm thư
hon hỏn
hòn dái
hòn đạn
hòn đảo
hòn đáo
hỏng ăn
hỏng đi
họp báo
họp chợ
họp mặt
hô cách
hô danh
hô hoán
hồ điệp
hồ khẩu
hồ nghi
hồ phèn
hồ thủy
hồ tiêu
hồ tinh
hổ biến
hổ khẩu
hổ lang
hổ mang
hổ thân
hổ thẹn
hố tiêu
hộ khẩu
hộ mệnh
hộ pháp
hộ sinh
hộ tang
hộ thân
hộ tịch
hộ tống
hốc hác
hốc mắt
hộc máu
hộc tốc
hôi của
hôi dầu
hôi hám
hôi hổi
hôi ình
hôi mốc
hôi mồm
hồi cảm
hồi đầu
hồi hồi
hồi hộp
hồi hưu
hồi lâu
hồi lưu
hồi môn
hồi não
hồi nãy
hồi quy
hồi sức
hồi tâm
hồi tín
hồi tục
hồi văn
hối cải
hối hận
hối lỗi
hối quá
hội báo
hội chợ
hội chủ
hội đàm
hội hoạ
hội họp
hội kín
hội ngộ
hội thi
hôm kia
hôm kìa
hôm mai
hôm nao
hôm nào
hôm nay
hôm này
hôm qua
hôm rày
hôm sau
hôm sớm
hôm xưa
hôn hít
hôn thú
hôn thư
hôn ước
hồn hậu
hồn thơ
hồn vía
hổn hển
hỗn độn
hỗn hào
hỗn hợp
hỗn láo
hỗn tạp
hồng bì
hồng kì
hồng lô
hộp đêm
hộp thư
hột cơm
hờ hững
hở hang
hở ngực
hở sườn
hơi đâu
hơi độc
hơi hơi
hơi men
hơi sức
hơi thở
hời hợi
hơn hẳn
hơn hết
hơn hớn
hơn nữa
hờn dỗi
hờn hợt
hờn mát
hợp cẩn
hợp kim
hợp lực
hợp lưu
hợp tác
hợp tấu
hớt bọt
hớt hải
hớt lẻo
hớt tóc
hủ tiếu
huấn dụ
huấn từ
hục hặc
huệ tây
hum húp
hùm beo
hun đúc
hun hút
hùn vốn
hung ác
hung dữ
hung đồ
hùng cứ
hùng hổ
hùng vĩ
húp híp
hụp lặn
hút bám
hút bụi
hút máu
hút thu
hụt vốn
huỷ sắc
hư danh
hư hỏng
hư ngụy
hư thân
hư vinh
hứa hẹn
hứa hôn
hưu non
hưu trí
hữu chí
hữu dực
hữu hạn
hữu hảo
hữu ích
hữu sản
ỉa chảy
ỉa tháo
ích lợi
ích mẫu
im bẵng
im lặng
im trời
in hình
in nắng
inh tai
ình ịch
ít nhất
ít tuổi
kẻ cướp
kẻ dưới
kẻ địch
kẻ gian
kẻ khác
kẻ trộm
kẽ nách
kẽ răng
kèm cặp
kém cỏi
kém hèn
kém mắt
kém sức
kém tai
ken két
kèn cựa
kèn hát
kèn kẹt
kèn túi
keo bẩn
keo gai
keo ong
keo sơn
kèo kẹo
kèo nài
kèo nèo
kẻo nữa
kẻo rồi
kẽo kẹt
kéo cày
kéo cưa
kéo dài
kẹo mút
kẹo mứt
kép hát
kẹp tóc
két bạc
két dầu
kê giao
kê khai
kể trên
kế chân
kế sách
kế thất
kế thừa
kế tiếp
kế toán
kệ kinh
kệ thây
kếch xù
kền kền
kết bạn
kết cấu
kết đôi
kết hạt
kết hối
kết hôn
kết hợp
kết mạc
kết nạp
kết oán
kết quả
kết tội
kết tủa
kết tục
kêu cầu
kêu cứu
kêu gào
kêu gọi
kêu nài
kêu oan
kêu rêu
kêu van
kha khá
khà khà
khả thủ
khả ước
khá giả
khác âm
khác gì
khác lá
khác số
khác xa
khai ấn
khai đề
khai hạ
khai lễ
khai mỏ
khai mù
khai tố
khai tử
khai um
khai vị
khải ca
khản cổ
khán hộ
khảo cổ
khắc độ
khắc gỗ
khắc kỉ
khắp cả
khâm sứ
khất nợ
khất sĩ
khất từ
khâu vá
khẩu độ
khẩu vị
khe khẽ
khè khè
khét mù
khề khà
khế ước
khi đầu
khi khu
khi mạn
khi nào
khi nãy
khi nên
khi trá
khì khì
khỉ già
khỉ gió
khỉ mũi
khỉ râu
khỉ sóc
khỉ xồm
khí bẩm
khí cầu
khí cốt
khí cục
khí đốt
khí gió
khí hậu
khí hóa
khí lực
khí sắc
khí tài
khí thế
khí trơ
khí uất
khí vật
kho bạc
kho bãi
kho báu
kho khó
kho tàu
khò khè
khò khò
khó bảo
khó coi
khó dạy
khó nhá
khó nói
khó thở
khó tin
khoa cử
khoa đệ
khoả tử
khoe mẽ
khỏe ra
khô cạn
khô cằn
khô đét
khô héo
khô mộc
khô ráo
khổ chủ
khổ cực
khổ độc
khổ hải
khổ học
khổ lực
khổ mặt
khổ nạn
khổ não
khổ sai
khổ sâm
khổ tâm
khổ thơ
khổ vai
khố dây
khố lục
khôi vĩ
khối óc
khôn lẽ
khờ dại
khởi sự
khởi tố
khớp đồ
khu phố
khu trú
khu trừ
khu vực
khù khờ
khù khù
khúc xạ
khuê nữ
khuy áo
khư khư
khừ khừ
khử cực
khử độc
khử màu
khử mùi
khứ hồi
khứ lưu
kì cạch
kì chay
kì công
kì cùng
kì nghỉ
kì nham
kì quan
kỉ luật
kỉ niệm
kí nhận
kí pháp
kí sinh
kị binh
kị nắng
kia kìa
kích cỡ
kích tố
kịch sĩ
kiêm ái
kiềm kế
kiểm kê
kiếm ăn
kiếm cớ
kiên cố
kiến đỏ
kiết cú
kiết lị
kiêu kì
kiều cư
kiều lộ
kiếu từ
kim anh
kim cải
kim chi
kim chỉ
kim cúc
kim đan
kim găm
kim hôn
kim khí
kim lan
kim mai
kim móc
kim môn
kim nhũ
kín đáo
kín mít
kinh cụ
kinh dị
kinh đô
kinh độ
kinh kệ
kinh kì
kinh sợ
kinh sư
kinh sử
kinh tế
kinh vĩ
kính ái
kính cổ
kính nể
kịp thì
la làng
la liếm
la liệt
la mắng
la trời
là lượt
lả lướt
lá buồm
lá chắn
lá chét
lá dong
lá giấp
lá khôi
lá kính
lá lách
lá lược
lá mọng
lá ngọn
lá nhãn
lá noãn
lá rộng
lá sách
lá thăm
lá thắm
lạ lùng
lác đác
lác mắt
lạc chỗ
lạc đàn
lạc hầu
lạc hậu
lạc lối
lạc màu
lạc thú
lạc vận
lai cảo
lai rai
lai tạo
lai tạp
lai thế
lại bữa
lại hồn
lại mặt
lại mục
lại mũi
lại nhà
lại nữa
lại quả
lại sức
lam khí
làm bài
làm bàn
làm bạn
làm bậy
làm bếp
làm cái
làm cao
làm chi
làm cho
làm chủ
làm cơm
làm dầm
làm dâu
làm dấu
làm dịu
làm đau
làm đỏm
làm gái
làm giả
làm giá
làm hại
làm kêu
làm khổ
làm lại
làm lợi
làm mai
làm màu
làm mẫu
làm mồi
làm mối
làm mùa
làm nên
làm ngơ
làm oai
làm quà
làm rầy
làm rẫy
làm reo
làm rối
làm tôi
làm tội
làm trò
lạm bàn
lạm sát
lạm thu
lan can
lan đất
lan hài
lan man
lan quế
lan toả
lang lổ
làng xã
lãng du
lãng tử
lanh lẹ
lành da
lành dạ
lãnh sự
lãnh tụ
lánh xa
lao cải
lao đao
lao đầu
lao khổ
lao lực
lao màn
lao móc
lao tâm
lao xao
lào xào
lảo đảo
lão bộc
lão gia
lão hoá
lão mẫu
lão mưu
lão ông
lão suy
lão thị
láo lếu
lạo xạo
lạt lẽo
lạt màu
lau láu
lau sậy
làu bàu
làu làu
lảu bảu
láu táu
lạu bạu
lay lay
lay lắt
láy rền
lạy lục
lạy van
lắc cắc
lắc đầu
lăm lăm
lăm lẳm
lăm tăm
lằm lằm
lằm lặm
lắm lắm
lắm mồm
lắm trò
lăn lóc
lăn lộn
lăn tay
lăn tăn
lặn lội
lăng mạ
lăng mộ
lẳng lơ
lặng im
lặng lẽ
lắp bắp
lắp đít
lắp lại
lắp ráp
lặp lại
lắt lay
lắt lẻo
lắt léo
lặt vặt
lấc cấc
lấc xấc
lâm bồn
lâm dâm
lâm học
lâm nạn
lâm râm
lâm sản
lâm sơn
lầm bầm
lầm dầm
lầm lạc
lầm lầm
lầm lẫn
lầm lỗi
lầm rầm
lẩm bẩm
lẩm cẩm
lẫm cẫm
lấm láp
lấm lem
lấm lét
lấm tấm
lân cận
lần hồi
lần lần
lần lữa
lẩn lút
lẩn mặt
lẩn mẩn
lẫn cẫn
lẫn lộn
lẫn màu
lấn bấn
lấn cấn
lận đận
lấp láy
lấp loé
lập cập
lập chí
lập hội
lập loè
lập mưu
lập quy
lập tâm
lập thể
lập thu
lập thứ
lập tức
lật bật
lật đật
lật mặt
lật tẩy
lâu bền
lâu dài
lâu đài
lâu đời
lâu lắc
lâu lâu
lâu nay
lâu năm
lầu son
lậu cầu
lây bây
lầy lội
lẩy bẩy
lấy cắp
lấy lãi
lấy lại
lấy làm
lấy lời
lấy mất
lẽ hằng
lẽ phải
lẹ làng
lem lẻm
lem lém
lèm bèm
lém mép
lẹm cằm
len lẻn
len lén
len lét
len lỏi
lèn lẹt
lén lút
leo dây
leo lắt
leo lẻo
leo lét
leo teo
lèo lái
lèo tèo
lèo xèo
lẻo mép
lẽo đẽo
léo lắt
léo xéo
lép bép
lép kẹp
lép xép
lép xẹp
lẹp kẹp
lẹp xẹp
lét đét
lẹt đẹt
lề luật
lề thói
lễ giáo
lễ nghi
lễ phép
lễ phục
lễ sinh
lễ tang
lễ thăm
lễ tiết
lệ luật
lệ ngôn
lệ nông
lên bậc
lên cao
lên cân
lên cơn
lên đạn
lên đèn
lên gân
lên giá
lên hoa
lên lão
lên lớp
lên mặt
lên mâm
lên mây
lên men
lên râu
lên tay
lệnh bà
lết bết
lêu đêu
lêu lêu
lêu têu
lều bều
lểu đểu
lếu láo
li biệt
li giác
li gián
li giáo
lí lịch
lí luận
lìa đời
lịch sử
lịch sự
liêm sỉ
liên bộ
liên hệ
liệt kê
liệt sĩ
lim dim
lo buồn
lo liệu
loại bỏ
loạn li
loạn óc
loạn xạ
loạn xị
lóc cóc
lọc cọc
lọc lõi
lọc lừa
lọc xọc
loe loé
loe toe
loè bịp
loè đời
lòi dom
lòi tói
lõi đời
lòm lòm
lõm bõm
lọm cọm
lon ton
lon xon
long án
long tu
long xa
lòng dạ
lòng đỏ
lóp lép
lót tay
lọt tai
lô gích
lỗ chẩm
lỗ cống
lỗ hổng
lỗ mãng
lỗ mộng
lỗ nước
lố bịch
lố lăng
lộ bàng
lộ diện
lộ liễu
lộ sáng
lốc cốc
lộc cộc
lôi kéo
lồi cầu
lồi lõm
lỗi đạo
lỗi hẹn
lỗi lạc
lỗi lầm
lối vào
lôm côm
lôm lốp
lồm cồm
lồm lộp
lốm đốm
lộm cộm
lộn bậy
lộn lại
lộn lạo
lộn mửa
lộn xộn
lông lá
lông mã
lông mi
lồng ấp
lộng óc
lốp bốp
lốp đốp
lộp bộp
lộp cộp
lộp độp
lột sột
lột xác
lơ đãng
lơ đễnh
lơ lửng
lờ lững
lở loét
lở tích
lỡ bước
lời bạt
lời hứa
lời lãi
lời nói
lời thề
lời văn
lợi dân
lợi hại
lợi ích
lợi khí
lợi lộc
lợi mật
lợi sữa
lợi tức
lờm lợm
lờm xờm
lơn lớn
lờn bơn
lờn lợt
lờn mặt
lởn vởn
lớn gan
lớn lao
lớn lên
lợn bột
lợn cấn
lợn cợn
lợn dái
lợn gạo
lợn lòi
lợn nái
lớp học
lớp sơn
lớp xớp
lợp xợp
lớt xớt
lợt lạt
lũ lượt
lú ruột
lúa lốc
lúa mùa
lúa nếp
lúa nổi
lúa sớm
luân lí
luận án
luận cứ
luận đề
luật lệ
luật sư
lúc lắc
lúc này
lúc nãy
lục bảo
lục bát
lục bội
lục bục
lục đạo
lục địa
lục đục
lục lọi
lục vấn
lui gót
lui lại
lui lủi
lui tới
lùi lũi
lùi xùi
lúi húi
lúi xùi
lụi cụi
lụi hụi
lùm lùm
lủm bủm
lũm bũm
lùn tịt
lủn củn
lủn mủn
lũn cũn
lún sâu
lún sụt
lụn bại
lụn đời
lụn vụn
lụp bụp
lụp xụp
lút đầu
lụt lội
luỹ cọc
lữ điếm
lữ đoàn
lữ hành
lữ quán
lừa bịp
lừa dối
lừa đảo
lừa gạt
lừa lọc
lửa dục
lửa đạn
lửa hận
lửa rơm
lứa đôi
lực học
lửng dạ
lửng lơ
lững lờ
lược bí
lược bỏ
lược đồ
lược sử
lưỡi bẹ
lưỡi gà
lưỡi lê
lưới rê
lượn lờ
lương y
lượt là
lưu ban
lưu cầu
lưu cữu
lưu độc
lưu hoá
lưu lạc
lưu tâm
lưu trú
lưu trữ
lưu vực
lựu đạn
ma chay
ma mãnh
ma quái
ma trận
ma trơi
mà thôi
mã hiệu
mã thầy
mã tiền
má hồng
má phấn
mạ điện
mạc nối
mạch đồ
mạch kí
mạch rẽ
mai đây
mai gầm
mai hậu
mai hoa
mai kia
mai mái
mai mỉa
mai mối
mai mốt
mai một
mai sau
mài mòn
mài sắc
mãi dâm
mãi mãi
mái che
mái đầu
mái đẩy
mái đốc
mái đua
mái hắt
mái nhà
mái nhì
mái nhô
mái tóc
mại bản
mại dâm
man mác
man mát
man trá
màn ảnh
màn bạc
màn cửa
màn màn
màn sắt
màn vây
mãn địa
mãn đời
mãn hạn
mán đỉa
mạn đàm
mang nợ
mang ơn
mang rô
màng ối
mãng xà
máng cỏ
mạng mỡ
mảnh dẻ
mảnh vỏ
mảnh vỡ
mãnh hổ
mạnh mẽ
mao dẫn
mào đầu
mát mặt
mát tay
mạt cưa
mạt đời
mạt sát
mạt thế
mạt vận
mau hạt
mau mắn
màu bột
màu keo
màu sắc
máu cam
máu chó
máu mặt
may mặc
may mắn
may rủi
may sao
may sẵn
mày đay
mày hoa
mày râu
mày tao
mảy may
máy bào
máy bay
máy bơm
máy cán
máy cày
máy cắt
máy cấy
máy chữ
máy dát
máy dệt
máy doa
máy đào
máy đập
máy gặt
máy gấp
máy hàn
máy hát
máy kéo
máy lửa
máy may
máy móc
máy xay
máy xới
máy xúc
mạy lay
mắc bận
mắc bẫy
mắc cạn
mắc cọc
mắc cửi
mắc kẹt
mắc lỗi
mắc lỡm
mắc lừa
mắc míu
mắc mớp
mắc mưu
mắc mứu
mắc nạn
mặc cảm
mặc dầu
mặc may
mặc sức
mặc xác
măm mún
mắm tôm
măn mẳn
mằn mặn
măng đá
mắng mỏ
mắt cáo
mắt đơn
mắt hột
mắt kép
mặt cắt
mặt cân
mặt chữ
mặt dày
mặt hoa
mặt mày
mặt mẹt
mặt mũi
mặt nạc
mặt phố
mặt sắt
mâm xôi
mầm non
mẫn cán
mẫn tuệ
mấp máy
mập mạp
mất cắp
mất dạy
mất giá
mất gốc
mất hồn
mất hút
mất mát
mất mặt
mất mùa
mất nết
mất ngủ
mất sức
mất tăm
mất toi
mất trí
mất vía
mất vui
mật báo
mật chỉ
mật đàm
mật hoa
mật ngữ
mật ong
mật tấu
mật thư
mật ước
mẫu đơn
mẫu gốc
mẫu hậu
mẫu mực
mẫu tây
mấu lồi
mây bạc
mây mưa
mấy hơi
mấy khi
mấy nỗi
mè nheo
mè xửng
mẹ nuôi
mẹ ranh
men mét
men rạn
meo cau
meo meo
meo mốc
méo mặt
mẹo mực
mê cung
mê hoặc
mê loạn
mê muội
mê sách
mê sảng
mềm dẻo
mềm hóa
mềm mại
mềm môi
mềm yếu
mên mến
mền mệt
mến yêu
mệnh đề
mệnh hệ
mệt mỏi
mệt nhừ
mệt phờ
mệt xác
mếu máo
mĩ miều
mĩ nghệ
mỉa mai
miễn là
miễn tố
miễn xá
miêu tả
mim mím
